Tarih,MGM_Gerçek,AgroFrost_Tahmin,Durum
05-12-2016,-1.0°C,-1.1°C,✅ DOĞRULANDI
07-12-2016,-5.0°C,-6.9°C,✅ DOĞRULANDI
08-12-2016,-4.2°C,-5.1°C,✅ DOĞRULANDI
09-12-2016,-9.6°C,-7.1°C,✅ DOĞRULANDI
10-12-2016,-6.2°C,-8.7°C,✅ DOĞRULANDI
11-12-2016,-5.2°C,-5.6°C,✅ DOĞRULANDI
12-12-2016,-4.0°C,-5.1°C,✅ DOĞRULANDI
13-12-2016,-2.0°C,-4.8°C,✅ DOĞRULANDI
15-12-2016,-14.5°C,-12.4°C,✅ DOĞRULANDI
16-12-2016,-12.0°C,-13.7°C,✅ DOĞRULANDI
17-12-2016,-8.8°C,-10.7°C,✅ DOĞRULANDI
18-12-2016,-11.0°C,-9.5°C,✅ DOĞRULANDI
21-12-2016,-11.3°C,-13.1°C,✅ DOĞRULANDI
25-12-2016,-4.0°C,-4.3°C,✅ DOĞRULANDI
26-12-2016,-6.4°C,-5.5°C,✅ DOĞRULANDI
28-12-2016,-7.3°C,-5.2°C,✅ DOĞRULANDI
30-12-2016,-4.0°C,-3.2°C,✅ DOĞRULANDI
31-12-2016,-5.2°C,-6.2°C,✅ DOĞRULANDI
01-01-2017,-7.0°C,-7.1°C,✅ DOĞRULANDI
02-01-2017,-8.0°C,-8.7°C,✅ DOĞRULANDI
03-01-2017,-12.0°C,-9.7°C,✅ DOĞRULANDI
04-01-2017,-14.0°C,-11.8°C,✅ DOĞRULANDI
05-01-2017,-16.0°C,-14.6°C,✅ DOĞRULANDI
07-01-2017,-2.0°C,-4.6°C,✅ DOĞRULANDI
08-01-2017,-8.0°C,-5.2°C,✅ DOĞRULANDI
09-01-2017,-8.2°C,-10.5°C,✅ DOĞRULANDI
10-01-2017,-10.2°C,-11.9°C,✅ DOĞRULANDI
13-01-2017,-10.0°C,-8.9°C,✅ DOĞRULANDI
15-01-2017,-13.2°C,-13.6°C,✅ DOĞRULANDI
18-01-2017,-4.0°C,-4.5°C,✅ DOĞRULANDI
22-01-2017,-8.6°C,-6.1°C,✅ DOĞRULANDI
23-01-2017,-8.0°C,-9.0°C,✅ DOĞRULANDI
24-01-2017,-10.7°C,-10.2°C,✅ DOĞRULANDI
27-01-2017,-8.0°C,-7.5°C,✅ DOĞRULANDI
29-01-2017,-14.2°C,-12.6°C,✅ DOĞRULANDI
30-01-2017,-15.2°C,-14.3°C,✅ DOĞRULANDI
02-02-2017,-17.7°C,-16.6°C,✅ DOĞRULANDI
03-02-2017,-17.0°C,-17.0°C,✅ DOĞRULANDI
07-02-2017,-3.6°C,-5.2°C,✅ DOĞRULANDI
08-02-2017,-3.1°C,-5.8°C,✅ DOĞRULANDI
09-02-2017,-4.0°C,-4.3°C,✅ DOĞRULANDI
10-02-2017,-4.4°C,-4.5°C,✅ DOĞRULANDI
